area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,R,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,B,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,R,Licensed Fixed Wireless,0.388392857,0.366071429,0.366071429,0,0,0.000000000
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,B,Licensed Fixed Wireless,0.468750000,0.441964286,0.397321429,0,0.000000000,0
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,R,Other,0,0.000000000,0,0,0,0
Total,Census Place,2800100,Abbeville,"Abbeville, MS",224,B,Other,0,0,0,0,0,0.000000000
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.264083458,0.264083458
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.351117735,0.351117735
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,R,All Wired,0.974068554,0.966616990,0.959761550,0.959761550,0.264083458,0.264083458
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,B,All Wired,0.977943368,0.973770492,0.967511177,0.967511177,0.351117735,0.351117735
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,R,Any Terrestrial,0.975260805,0.968703428,0.963636364,0.959761550,0.264083458,0.264083458
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,B,Any Terrestrial,0.993740686,0.993144560,0.991654247,0.968107303,0.351117735,0.351117735
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,R,All Wired and Licensed Fixed Wireless,0.975260805,0.968703428,0.963636364,0.959761550,0.264083458,0.264083458
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,B,All Wired and Licensed Fixed Wireless,0.993740686,0.993144560,0.991654247,0.968107303,0.351117735,0.351117735
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,R,Copper,0.669150522,0.481967213,0,0,0.000000000,0
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,B,Copper,0.669150522,0.481967213,0,0,0,0.000000000
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,R,Cable/Fiber,0.959761550,0.959761550,0.959761550,0.959761550,0.264083458,0.264083458
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,B,Cable/Fiber,0.967511177,0.967511177,0.967511177,0.967511177,0.351117735,0.351117735
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,R,Cable,0.956482861,0.956482861,0.956482861,0.956482861,0,0
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,B,Cable,0.956482861,0.956482861,0.956482861,0.956482861,0.000000000,0
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,R,Fiber,0.264083458,0.264083458,0.264083458,0.264083458,0.264083458,0.264083458
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,B,Fiber,0.351117735,0.351117735,0.351117735,0.351117735,0.351117735,0.351117735
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,R,All Fixed Wireless,0.590461997,0.179433681,0.179433681,0.084351714,0,0
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,B,All Fixed Wireless,0.822652757,0.557078987,0.552608048,0.087630402,0,0.000000000
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,R,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,B,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,R,Licensed Fixed Wireless,0.590461997,0.179433681,0.179433681,0.084351714,0,0.000000000
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,B,Licensed Fixed Wireless,0.822652757,0.557078987,0.552608048,0.087630402,0,0.000000000
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,R,Other,0,0,0,0,0,0.000000000
Total,Census Place,2800180,Aberdeen,"Aberdeen, MS",3355,B,Other,0.000000000,0,0,0,0,0
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,R,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,B,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,R,Copper,0.037848606,0.037848606,0.032868526,0,0,0
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,B,Copper,0.037848606,0.037848606,0.032868526,0,0,0.000000000
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,R,Cable,0,0,0,0,0,0.000000000
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,B,Cable,0,0.000000000,0,0,0,0
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,R,Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,B,Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,R,All Fixed Wireless,0.762948207,0.647410359,0.647410359,0.441235060,0,0.000000000
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,B,All Fixed Wireless,0.854581673,0.736055777,0.736055777,0.525896414,0,0
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,R,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,B,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,R,Licensed Fixed Wireless,0.762948207,0.647410359,0.647410359,0.441235060,0.000000000,0
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,B,Licensed Fixed Wireless,0.854581673,0.736055777,0.736055777,0.525896414,0,0
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,R,Other,0.000000000,0,0,0,0,0
Total,Census Place,2800300,Ackerman,"Ackerman, MS",1004,B,Other,0,0.000000000,0,0,0,0
Total,Census Place,2800460,Agricola,"Agricola, MS",224,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2800460,Agricola,"Agricola, MS",224,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2800460,Agricola,"Agricola, MS",224,R,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2800460,Agricola,"Agricola, MS",224,B,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2800460,Agricola,"Agricola, MS",224,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2800460,Agricola,"Agricola, MS",224,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2800460,Agricola,"Agricola, MS",224,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2800460,Agricola,"Agricola, MS",224,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2800460,Agricola,"Agricola, MS",224,R,Copper,0.316964286,0.267857143,0.232142857,0.026785714,0,0
Total,Census Place,2800460,Agricola,"Agricola, MS",224,B,Copper,0.316964286,0.267857143,0.232142857,0.026785714,0.000000000,0
Total,Census Place,2800460,Agricola,"Agricola, MS",224,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2800460,Agricola,"Agricola, MS",224,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2800460,Agricola,"Agricola, MS",224,R,Cable,0.013392857,0.013392857,0.013392857,0.013392857,0.013392857,0
Total,Census Place,2800460,Agricola,"Agricola, MS",224,B,Cable,0.013392857,0.013392857,0.013392857,0.013392857,0.013392857,0
Total,Census Place,2800460,Agricola,"Agricola, MS",224,R,Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2800460,Agricola,"Agricola, MS",224,B,Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2800460,Agricola,"Agricola, MS",224,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2800460,Agricola,"Agricola, MS",224,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,2800460,Agricola,"Agricola, MS",224,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2800460,Agricola,"Agricola, MS",224,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2800460,Agricola,"Agricola, MS",224,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2800460,Agricola,"Agricola, MS",224,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2800460,Agricola,"Agricola, MS",224,R,All Fixed Wireless,0.058035714,0.022321429,0.022321429,0.004464286,0,0.000000000
Total,Census Place,2800460,Agricola,"Agricola, MS",224,B,All Fixed Wireless,0.357142857,0.339285714,0.339285714,0,0,0.000000000
Total,Census Place,2800460,Agricola,"Agricola, MS",224,R,Unlicensed Fixed Wireless,0,0,0,0.000000000,0,0
Total,Census Place,2800460,Agricola,"Agricola, MS",224,B,Unlicensed Fixed Wireless,0,0,0,0.000000000,0,0
Total,Census Place,2800460,Agricola,"Agricola, MS",224,R,Licensed Fixed Wireless,0.058035714,0.022321429,0.022321429,0.004464286,0,0
Total,Census Place,2800460,Agricola,"Agricola, MS",224,B,Licensed Fixed Wireless,0.357142857,0.339285714,0.339285714,0,0,0.000000000
Total,Census Place,2800460,Agricola,"Agricola, MS",224,R,Other,0,0.000000000,0,0,0,0
Total,Census Place,2800460,Agricola,"Agricola, MS",224,B,Other,0,0,0,0,0,0.000000000
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,R,All Wired,0.131313131,0.090909091,0,0,0,0.000000000
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,B,All Wired,0.131313131,0.090909091,0.000000000,0,0,0
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,R,Any Terrestrial,0.848484848,0.838383838,0.838383838,0.767676768,0,0
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,B,Any Terrestrial,0.949494949,0.949494949,0.949494949,0.767676768,0,0
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,R,All Wired and Licensed Fixed Wireless,0.848484848,0.838383838,0.838383838,0.767676768,0,0.000000000
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,B,All Wired and Licensed Fixed Wireless,0.949494949,0.949494949,0.949494949,0.767676768,0,0
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,R,Copper,0.131313131,0.090909091,0,0,0.000000000,0
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,B,Copper,0.131313131,0.090909091,0,0,0,0
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,R,Cable/Fiber,0,0,0,0,0.000000000,0
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,B,Cable/Fiber,0,0,0,0,0.000000000,0
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,R,Cable,0,0.000000000,0,0,0,0
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,B,Cable,0,0.000000000,0,0,0,0
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,R,Fiber,0,0,0,0,0.000000000,0
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,B,Fiber,0,0,0,0,0,0.000000000
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,R,All Fixed Wireless,0.838383838,0.838383838,0.838383838,0.767676768,0,0.000000000
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,B,All Fixed Wireless,0.949494949,0.949494949,0.949494949,0.767676768,0,0
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,R,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,B,Unlicensed Fixed Wireless,0,0.000000000,0,0,0,0
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,R,Licensed Fixed Wireless,0.838383838,0.838383838,0.838383838,0.767676768,0,0.000000000
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,B,Licensed Fixed Wireless,0.949494949,0.949494949,0.949494949,0.767676768,0,0
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,R,Other,0,0,0,0,0,0.000000000
Total,Census Place,2800680,Alcorn State University,"Alcorn State University, MS",99,B,Other,0,0,0,0,0.000000000,0
Total,Census Place,2800820,Algoma,"Algoma, MS",387,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.948320413,0.948320413
Total,Census Place,2800820,Algoma,"Algoma, MS",387,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.563307494,0.563307494
Total,Census Place,2800820,Algoma,"Algoma, MS",387,R,All Wired,0.948320413,0.948320413,0.948320413,0.948320413,0.948320413,0.948320413
Total,Census Place,2800820,Algoma,"Algoma, MS",387,B,All Wired,0.568475452,0.565891473,0.563307494,0.563307494,0.563307494,0.563307494
Total,Census Place,2800820,Algoma,"Algoma, MS",387,R,Any Terrestrial,0.948320413,0.948320413,0.948320413,0.948320413,0.948320413,0.948320413
Total,Census Place,2800820,Algoma,"Algoma, MS",387,B,Any Terrestrial,0.891472868,0.793281654,0.793281654,0.751937984,0.563307494,0.563307494
Total,Census Place,2800820,Algoma,"Algoma, MS",387,R,All Wired and Licensed Fixed Wireless,0.948320413,0.948320413,0.948320413,0.948320413,0.948320413,0.948320413
Total,Census Place,2800820,Algoma,"Algoma, MS",387,B,All Wired and Licensed Fixed Wireless,0.891472868,0.793281654,0.793281654,0.751937984,0.563307494,0.563307494
Total,Census Place,2800820,Algoma,"Algoma, MS",387,R,Copper,0.007751938,0.005167959,0,0,0.000000000,0
Total,Census Place,2800820,Algoma,"Algoma, MS",387,B,Copper,0.007751938,0.005167959,0,0,0.000000000,0
Total,Census Place,2800820,Algoma,"Algoma, MS",387,R,Cable/Fiber,0.948320413,0.948320413,0.948320413,0.948320413,0.948320413,0.948320413
Total,Census Place,2800820,Algoma,"Algoma, MS",387,B,Cable/Fiber,0.563307494,0.563307494,0.563307494,0.563307494,0.563307494,0.563307494
Total,Census Place,2800820,Algoma,"Algoma, MS",387,R,Cable,0.000000000,0,0,0,0,0
Total,Census Place,2800820,Algoma,"Algoma, MS",387,B,Cable,0,0,0,0,0,0.000000000
Total,Census Place,2800820,Algoma,"Algoma, MS",387,R,Fiber,0.948320413,0.948320413,0.948320413,0.948320413,0.948320413,0.948320413
Total,Census Place,2800820,Algoma,"Algoma, MS",387,B,Fiber,0.563307494,0.563307494,0.563307494,0.563307494,0.563307494,0.563307494
Total,Census Place,2800820,Algoma,"Algoma, MS",387,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,2800820,Algoma,"Algoma, MS",387,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2800820,Algoma,"Algoma, MS",387,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2800820,Algoma,"Algoma, MS",387,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0.000000000,0
Total,Census Place,2800820,Algoma,"Algoma, MS",387,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,2800820,Algoma,"Algoma, MS",387,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2800820,Algoma,"Algoma, MS",387,R,All Fixed Wireless,0.739018088,0.583979328,0.583979328,0.465116279,0,0
Total,Census Place,2800820,Algoma,"Algoma, MS",387,B,All Fixed Wireless,0.816537468,0.671834625,0.671834625,0.467700258,0,0.000000000
Total,Census Place,2800820,Algoma,"Algoma, MS",387,R,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,2800820,Algoma,"Algoma, MS",387,B,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
Total,Census Place,2800820,Algoma,"Algoma, MS",387,R,Licensed Fixed Wireless,0.739018088,0.583979328,0.583979328,0.465116279,0,0.000000000
Total,Census Place,2800820,Algoma,"Algoma, MS",387,B,Licensed Fixed Wireless,0.816537468,0.671834625,0.671834625,0.467700258,0.000000000,0
Total,Census Place,2800820,Algoma,"Algoma, MS",387,R,Other,0,0,0,0,0,0.000000000
Total,Census Place,2800820,Algoma,"Algoma, MS",387,B,Other,0.000000000,0,0,0,0,0
Total,Census Place,2800940,Alligator,"Alligator, MS",93,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,2800940,Alligator,"Alligator, MS",93,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,2800940,Alligator,"Alligator, MS",93,R,All Wired,0,0,0.000000000,0,0,0
Total,Census Place,2800940,Alligator,"Alligator, MS",93,B,All Wired,0,0,0,0.000000000,0,0
Total,Census Place,2800940,Alligator,"Alligator, MS",93,R,Any Terrestrial,0.956989247,0.956989247,0.838709677,0,0,0
Total,Census Place,2800940,Alligator,"Alligator, MS",93,B,Any Terrestrial,0.967741935,0.967741935,0.860215054,0,0,0
Total,Census Place,2800940,Alligator,"Alligator, MS",93,R,All Wired and Licensed Fixed Wireless,0.430107527,0.408602151,0.408602151,0,0,0
Total,Census Place,2800940,Alligator,"Alligator, MS",93,B,All Wired and Licensed Fixed Wireless,0.462365591,0.440860215,0.440860215,0,0,0
Total,Census Place,2800940,Alligator,"Alligator, MS",93,R,Copper,0,0,0.000000000,0,0,0
Total,Census Place,2800940,Alligator,"Alligator, MS",93,B,Copper,0,0,0,0,0,0.000000000
Total,Census Place,2800940,Alligator,"Alligator, MS",93,R,Cable/Fiber,0,0,0.000000000,0,0,0
Total,Census Place,2800940,Alligator,"Alligator, MS",93,B,Cable/Fiber,0,0,0,0,0.000000000,0
Total,Census Place,2800940,Alligator,"Alligator, MS",93,R,Cable,0,0,0.000000000,0,0,0
Total,Census Place,2800940,Alligator,"Alligator, MS",93,B,Cable,0,0,0,0,0.000000000,0
Total,Census Place,2800940,Alligator,"Alligator, MS",93,R,Fiber,0.000000000,0,0,0,0,0
Total,Census Place,2800940,Alligator,"Alligator, MS",93,B,Fiber,0,0,0,0,0.000000000,0
Total,Census Place,2800940,Alligator,"Alligator, MS",93,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,2800940,Alligator,"Alligator, MS",93,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,2800940,Alligator,"Alligator, MS",93,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0.000000000,0,0
Total,Census Place,2800940,Alligator,"Alligator, MS",93,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2800940,Alligator,"Alligator, MS",93,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
