provider_id,holding_company,technology_code,technology_code_desc,location_count_res,unit_count_res,location_count_bus,unit_count_bus
130081,"ATN International, Inc.",10,Copper,99361,157626,9438,30067
130081,"ATN International, Inc.",40,Cable,33496,35862,126,1492
130081,"ATN International, Inc.",50,Fiber to the Premises,7505,14805,1379,6347
130081,"ATN International, Inc.",70,Unlicensed Fixed Wireless,11526,15942,2762,6342
130081,"ATN International, Inc.",71,Licensed Fixed Wireless,534563,680731,47555,107379
130081,"ATN International, Inc.",72,LBR Fixed Wireless,10003,12059,2522,4031
130082,Atlantic Telephone Membership Corporation,40,Cable,32135,34537,32135,34537
130082,Atlantic Telephone Membership Corporation,50,Fiber to the Premises,83618,95744,83618,95744
130083,"Atlas Telephone Company, Inc.",10,Copper,19,21,1,1
130083,"Atlas Telephone Company, Inc.",50,Fiber to the Premises,827,858,210,238
130084,"Atwood Cable Systems, Inc.",40,Cable,797,842,797,842
130084,"Atwood Cable Systems, Inc.",50,Fiber to the Premises,43,59,43,59
130087,Ayersville Telephone Company,10,Copper,1039,1070,77,98
130087,Ayersville Telephone Company,50,Fiber to the Premises,853,874,77,89
130090,"Baca Valley Telephone Company, Inc.",10,Copper,749,846,749,846
130090,"Baca Valley Telephone Company, Inc.",50,Fiber to the Premises,905,1209,905,1209
130090,"Baca Valley Telephone Company, Inc.",70,Unlicensed Fixed Wireless,3273,3691,3273,3691
130090,"Baca Valley Telephone Company, Inc.",72,LBR Fixed Wireless,278,290,278,290
130092,"Baldwin Nashville Telephone Company, Inc.",50,Fiber to the Premises,471,493,471,493
130093,"Baldwin Telecom, Inc.",50,Fiber to the Premises,12770,14829,12984,15148
130094,"Ballard Rural Telephone Cooperative Corporation, Inc.",50,Fiber to the Premises,6702,7335,6702,7335
130095,Baraga Telephone Company Inc.,10,Copper,5697,6522,5697,6522
130095,Baraga Telephone Company Inc.,50,Fiber to the Premises,6676,8580,6676,8580
130096,Barnes City Cooperative Telephone Company,10,Copper,221,229,221,229
130097,Barry County Services Company,10,Copper,4005,4085,0,0
130097,Barry County Services Company,50,Fiber to the Premises,5056,5128,450,604
130097,Barry County Services Company,71,Licensed Fixed Wireless,1,1,0,0
130097,Barry County Services Company,72,LBR Fixed Wireless,15025,16269,15025,16269
130098,Bascom Mutual Telephone Company,50,Fiber to the Premises,4584,5194,4584,5194
130098,Bascom Mutual Telephone Company,70,Unlicensed Fixed Wireless,1302,1355,1302,1355
130098,Bascom Mutual Telephone Company,71,Licensed Fixed Wireless,31524,34941,31524,34941
130103,"Beamspeed, LLC",40,Cable,2038,2380,2038,2380
130103,"Beamspeed, LLC",50,Fiber to the Premises,3644,4944,3644,4944
130103,"Beamspeed, LLC",71,Licensed Fixed Wireless,115331,160261,115331,160261
130104,Beaver Creek Cooperative Telephone Company,10,Copper,5869,6602,5869,6602
130104,Beaver Creek Cooperative Telephone Company,40,Cable,5496,5976,5496,5976
130104,Beaver Creek Cooperative Telephone Company,50,Fiber to the Premises,869,1309,869,1309
130105,"Bee Creek Communications, Inc.",70,Unlicensed Fixed Wireless,57219,72374,57219,72374
130106,Beehive Telephone Companies,10,Copper,373,402,373,402
130106,Beehive Telephone Companies,40,Cable,13,13,13,13
130106,Beehive Telephone Companies,50,Fiber to the Premises,155106,187394,155106,187394
130106,Beehive Telephone Companies,70,Unlicensed Fixed Wireless,23934,27150,23934,27150
130107,"Beggs Telephone Company, Inc.",10,Copper,1259,1333,226,298
130107,"Beggs Telephone Company, Inc.",50,Fiber to the Premises,628,667,160,198
130108,BEK Communications Cooperative,50,Fiber to the Premises,18921,22186,18921,22186
130112,"Ben Lomand Rural Telephone Coop., Inc.",10,Copper,2312,3612,465,1083
130112,"Ben Lomand Rural Telephone Coop., Inc.",50,Fiber to the Premises,58547,63629,8177,12246
130114,BW Telcom,10,Copper,3,3,3,3
130114,BW Telcom,50,Fiber to the Premises,2243,2279,2243,2279
130115,Benton Cooperative Telephone Company,10,Copper,25,25,25,25
130115,Benton Cooperative Telephone Company,40,Cable,1023,1572,1023,1572
130115,Benton Cooperative Telephone Company,50,Fiber to the Premises,9503,10736,9503,10736
130116,Benton Ridge Telephone Company,50,Fiber to the Premises,9311,11392,9311,11392
130116,Benton Ridge Telephone Company,70,Unlicensed Fixed Wireless,339305,395635,339305,395635
130116,Benton Ridge Telephone Company,71,Licensed Fixed Wireless,552003,654974,552003,654974
130116,Benton Ridge Telephone Company,72,LBR Fixed Wireless,158269,190203,158269,190203
130118,Beresford Municipal Telephone Company,50,Fiber to the Premises,1029,1320,1029,1320
130119,Bergen Telephone Company,50,Fiber to the Premises,192,261,192,261
130120,"Bernard Telephone Company, Inc.",50,Fiber to the Premises,1391,1424,1391,1424
130120,"Bernard Telephone Company, Inc.",70,Unlicensed Fixed Wireless,3878,4286,3878,4286
130122,Biddeford Internet Corporation,10,Copper,882,4061,344,2903
130122,Biddeford Internet Corporation,50,Fiber to the Premises,1545,3965,652,3085
130123,"Nevill Holdings, Inc.",10,Copper,832,866,832,866
130123,"Nevill Holdings, Inc.",40,Cable,6709,8667,6709,8667
130123,"Nevill Holdings, Inc.",50,Fiber to the Premises,9813,11579,9813,11579
130123,"Nevill Holdings, Inc.",60,GSO Satellite,810,812,810,812
130123,"Nevill Holdings, Inc.",70,Unlicensed Fixed Wireless,5330,5868,5330,5868
130123,"Nevill Holdings, Inc.",71,Licensed Fixed Wireless,12682,15522,12682,15522
130124,"Big River Telephone, LLC",10,Copper,19,38,37,115
130124,"Big River Telephone, LLC",50,Fiber to the Premises,14390,17422,1510,2564
130124,"Big River Telephone, LLC",70,Unlicensed Fixed Wireless,95680,110678,12844,20448
130126,Bijou Telephone Cooperative Association Inc.,10,Copper,31,31,31,31
130126,Bijou Telephone Cooperative Association Inc.,50,Fiber to the Premises,1855,2011,1855,2011
130126,Bijou Telephone Cooperative Association Inc.,70,Unlicensed Fixed Wireless,1327,1481,1327,1481
130130,Bixby Telephone Company,10,Copper,6774,9591,561,1053
130130,Bixby Telephone Company,50,Fiber to the Premises,9378,16164,2665,6196
130132,"Blackfoot Telephone Cooperative, Inc.",10,Copper,26978,34661,26978,34661
130132,"Blackfoot Telephone Cooperative, Inc.",50,Fiber to the Premises,19290,33461,19290,33461
130132,"Blackfoot Telephone Cooperative, Inc.",70,Unlicensed Fixed Wireless,675,1424,675,1424
130132,"Blackfoot Telephone Cooperative, Inc.",71,Licensed Fixed Wireless,88,305,88,305
130133,Blanca Telephone Company/Jade Communications LLC,50,Fiber to the Premises,9361,10744,9361,10744
130133,Blanca Telephone Company/Jade Communications LLC,70,Unlicensed Fixed Wireless,2612,2929,2612,2929
130133,Blanca Telephone Company/Jade Communications LLC,71,Licensed Fixed Wireless,9233,10696,9233,10696
130133,Blanca Telephone Company/Jade Communications LLC,72,LBR Fixed Wireless,19,24,19,24
130134,"Blanchard Telephone Association, Inc.",10,Copper,1441,1656,1441,1656
130134,"Blanchard Telephone Association, Inc.",50,Fiber to the Premises,263,286,263,286
130136,Bledsoe Telephone Cooperative Inc.,10,Copper,14151,14676,14151,14676
130136,Bledsoe Telephone Cooperative Inc.,50,Fiber to the Premises,13240,13738,13240,13738
130137,"Block Communications, Inc.",10,Copper,2,2,2,2
130137,"Block Communications, Inc.",40,Cable,225735,325452,225734,325451
130137,"Block Communications, Inc.",50,Fiber to the Premises,143275,192902,146616,200656
130138,Bloomer Telephone Company,50,Fiber to the Premises,4944,6363,1707,2694
130139,Bloomingdale Home Telephone Company,10,Copper,357,377,119,122
130139,Bloomingdale Home Telephone Company,50,Fiber to the Premises,1746,1984,472,518
130140,"Bloomingdale Telephone Company, Inc.",50,Fiber to the Premises,9301,10341,9301,10341
130141,"Blossom Telephone Co., Inc.",10,Copper,448,540,448,540
130141,"Blossom Telephone Co., Inc.",50,Fiber to the Premises,1246,1539,1246,1539
130142,Rural Communications Holding Corporation,10,Copper,2941,3339,2941,3339
130142,Rural Communications Holding Corporation,50,Fiber to the Premises,26281,29825,26281,29825
130144,"Blue Valley Tele-Communications, Inc.",40,Cable,1793,1870,1793,1870
130144,"Blue Valley Tele-Communications, Inc.",50,Fiber to the Premises,7848,8348,7848,8348
130144,"Blue Valley Tele-Communications, Inc.",70,Unlicensed Fixed Wireless,313,315,313,315
130148,Colonial Telephone Company,10,Copper,1436,1627,1436,1627
130150,Brandenburg Communications Corp.,10,Copper,2131,2666,2131,2666
130150,Brandenburg Communications Corp.,50,Fiber to the Premises,50383,64319,50383,64319
130151,"Strickland Communications, Inc.",50,Fiber to the Premises,10110,11532,10110,11532
130152,Brazoria Telephone Company,10,Copper,1803,2071,1803,2071
130152,Brazoria Telephone Company,40,Cable,5634,6153,5634,6153
130152,Brazoria Telephone Company,50,Fiber to the Premises,5908,6605,5908,6605
130153,"Brazos Telephone Cooperative, Inc.",10,Copper,164,187,164,187
130153,"Brazos Telephone Cooperative, Inc.",50,Fiber to the Premises,9387,10457,9387,10457
130154,Breda Telephone Corp.,50,Fiber to the Premises,19760,21148,19760,21148
130160,Bristol Bay Telephone Cooperative,10,Copper,1431,1439,1431,1439
130161,Broadband Corp.,50,Fiber to the Premises,10277,12329,1724,2941
130161,Broadband Corp.,72,LBR Fixed Wireless,14394,17389,2887,4442
130169,Brooklyn Mutual Telecommunications Cooperative,10,Copper,550,552,2,3
130169,Brooklyn Mutual Telecommunications Cooperative,40,Cable,16,22,0,0
130169,Brooklyn Mutual Telecommunications Cooperative,50,Fiber to the Premises,964,1047,75,85
130170,"Bruce Telephone Company, Inc.",10,Copper,775,969,775,969
130170,"Bruce Telephone Company, Inc.",50,Fiber to the Premises,1418,1590,1418,1590
130171,Bryan Family Inc.,10,Copper,66,77,66,77
130171,Bryan Family Inc.,50,Fiber to the Premises,57,64,57,64
130176,"Bulloch County Rural Telephone Cooperative, Inc.",50,Fiber to the Premises,17589,22153,17589,22153
130178,"Burke's Garden Telephone Co., Inc.",50,Fiber to the Premises,237,251,237,251
130179,Butler-Bremer Mutual Telephone Company,50,Fiber to the Premises,9590,10199,9590,10199
130183,"Cable One, Inc.",10,Copper,62236,84840,62236,84840
130183,"Cable One, Inc.",40,Cable,2124178,2690051,2124178,2690051
130183,"Cable One, Inc.",50,Fiber to the Premises,304020,380747,190783,259340
130183,"Cable One, Inc.",70,Unlicensed Fixed Wireless,4928,5158,4928,5158
130184,"Cable Services, Inc.",40,Cable,10034,13280,10034,13280
130189,Calaveras Communications Company,10,Copper,2860,3119,2860,3119
130189,Calaveras Communications Company,50,Fiber to the Premises,1669,2241,1669,2241
130189,Calaveras Communications Company,70,Unlicensed Fixed Wireless,639,754,639,754
130192,"Cambridge TelCom, Inc.",10,Copper,1780,1871,1780,1871
130192,"Cambridge TelCom, Inc.",50,Fiber to the Premises,4934,5366,4934,5366
130192,"Cambridge TelCom, Inc.",71,Licensed Fixed Wireless,995,1044,995,1044
130193,"Cambridge Telephone Company, Inc.",10,Copper,1094,1132,202,243
130193,"Cambridge Telephone Company, Inc.",50,Fiber to the Premises,1282,1352,246,321
130193,"Cambridge Telephone Company, Inc.",70,Unlicensed Fixed Wireless,2173,3262,357,1266
130193,"Cambridge Telephone Company, Inc.",71,Licensed Fixed Wireless,0,0,1,1
130193,"Cambridge Telephone Company, Inc.",72,LBR Fixed Wireless,46,50,3,5
130195,Canadian Valley Telephone Company,10,Copper,1862,1977,1862,1977
130195,Canadian Valley Telephone Company,50,Fiber to the Premises,20,22,20,22
130196,Canby Telephone Association,10,Copper,830,1145,830,1145
130196,Canby Telephone Association,50,Fiber to the Premises,9724,11852,9724,11852
130199,"Cap Rock Telephone Cooperative, Inc.",10,Copper,203,428,203,428
130199,"Cap Rock Telephone Cooperative, Inc.",50,Fiber to the Premises,6780,7609,6780,7609
130201,Carnegie Telephone Company,10,Copper,1738,1809,1738,1809
130201,Carnegie Telephone Company,50,Fiber to the Premises,2901,3018,2901,3018
130201,Carnegie Telephone Company,70,Unlicensed Fixed Wireless,123,124,123,124
130201,Carnegie Telephone Company,72,LBR Fixed Wireless,4271,4396,4271,4396
130203,"Carr Communications, Inc.",10,Copper,3444,3779,3444,3779
130204,Cascade Communications Company,50,Fiber to the Premises,3980,4435,3980,4435
130206,Day Management Corporation,10,Copper,14908,19473,14908,19473
130206,Day Management Corporation,50,Fiber to the Premises,21599,27016,21599,27016
130207,Casey Mutual Telephone Company,10,Copper,139,142,139,142
130207,Casey Mutual Telephone Company,50,Fiber to the Premises,632,655,632,655
130208,"Cass Communications Management, Inc.",40,Cable,11051,12685,11051,12685
130208,"Cass Communications Management, Inc.",50,Fiber to the Premises,28668,32644,28968,33268
130208,"Cass Communications Management, Inc.",70,Unlicensed Fixed Wireless,3033,3488,3033,3488
130208,"Cass Communications Management, Inc.",71,Licensed Fixed Wireless,9010,9763,9010,9763
130210,Castleberry Communications,10,Copper,1166,1307,1166,1307
130218,Cedar Falls Municipal Communications Utility,50,Fiber to the Premises,13435,17548,13435,17548
130218,Cedar Falls Municipal Communications Utility,70,Unlicensed Fixed Wireless,46,46,46,46
130223,"Center Junction Telephone Company, Inc.",50,Fiber to the Premises,187,189,187,189
130224,"Central Arkansas Telephone Cooperative, Inc.",50,Fiber to the Premises,5081,5510,5081,5510
130226,"Central Oklahoma Telephone Co., LLC",10,Copper,2834,2970,2834,2970
130226,"Central Oklahoma Telephone Co., LLC",50,Fiber to the Premises,3327,3449,3327,3449
130227,"Central Texas Telephone Cooperative, Inc.",10,Copper,813,851,813,851
130227,"Central Texas Telephone Cooperative, Inc.",50,Fiber to the Premises,12321,13470,12321,13470
130228,"Lumen Technologies, Inc.",10,Copper,10174049,14370501,10174020,14370444
130228,"Lumen Technologies, Inc.",50,Fiber to the Premises,2807429,3717276,2807427,3717274
130233,Chapin Communications Corporation,10,Copper,4463,5475,4463,5475
130233,Chapin Communications Corporation,50,Fiber to the Premises,2737,3348,2737,3348
130234,Chariton Valley Telephone Corporation,50,Fiber to the Premises,27737,30330,5731,7878
130235,Charter Communications,40,Cable,33198281,48112623,2753007,9151945
130235,Charter Communications,50,Fiber to the Premises,1321360,1801149,602811,2254244
130238,Chazy & Westport Telephone Corp.,10,Copper,225,237,225,237
130238,Chazy & Westport Telephone Corp.,50,Fiber to the Premises,3608,4074,3608,4074
130239,"Chequamegon Communications Cooperative, Inc.",10,Copper,2140,3025,689,1566
130239,"Chequamegon Communications Cooperative, Inc.",50,Fiber to the Premises,20478,23945,4048,6193
130240,Cherokee Telephone Company,10,Copper,5363,6022,1153,1327
130240,Cherokee Telephone Company,50,Fiber to the Premises,743,849,21,25
130242,"TruVista Communications, Inc.",10,Copper,5842,6261,882,1308
130242,"TruVista Communications, Inc.",40,Cable,34266,40434,5890,10988
130242,"TruVista Communications, Inc.",50,Fiber to the Premises,32559,36440,4964,8324
130243,Cheyenne River Sioux Tribe Telephone Authority,50,Fiber to the Premises,3535,3715,3535,3715
130244,"Chibardun Telephone Cooperative, Inc.",10,Copper,4908,6967,4908,6967
130244,"Chibardun Telephone Cooperative, Inc.",50,Fiber to the Premises,15819,18747,15819,18747
130245,Chickasaw Holding Company,10,Copper,18712,25893,17717,24822
130245,Chickasaw Holding Company,50,Fiber to the Premises,4999,5444,4999,5444
130250,Christensen Communications Company,10,Copper,575,607,575,607
130250,Christensen Communications Company,50,Fiber to the Premises,1205,1412,1205,1412
130250,Christensen Communications Company,71,Licensed Fixed Wireless,2439,2553,2439,2553
130252,"Churchill County, State of Nevada",10,Copper,677,920,677,920
130252,"Churchill County, State of Nevada",50,Fiber to the Premises,11556,13414,11556,13414
130254,Cincinnati Bell Inc.,10,Copper,93830,381391,93830,381391
130254,Cincinnati Bell Inc.,40,Cable,407,1301,0,0
130254,Cincinnati Bell Inc.,50,Fiber to the Premises,880703,1164641,880704,1164642
130254,Cincinnati Bell Inc.,70,Unlicensed Fixed Wireless,161,296,100,146
130254,Cincinnati Bell Inc.,71,Licensed Fixed Wireless,10969,12090,1621,1843
130254,Cincinnati Bell Inc.,72,LBR Fixed Wireless,113848,125971,15748,17053
130258,Frontier Communications Corporation,10,Copper,2416634,3155166,258294,757154
130258,Frontier Communications Corporation,50,Fiber to the Premises,5707887,6691627,188940,551861
130258,Frontier Communications Corporation,70,Unlicensed Fixed Wireless,21,27,2,3
130259,Citizens Mutual Telephone Cooperative,50,Fiber to the Premises,8394,8746,8394,8746
130263,Green Hills Telephone Corporation,10,Copper,6333,6775,6333,6775
130263,Green Hills Telephone Corporation,40,Cable,6101,6751,6101,6751
130263,Green Hills Telephone Corporation,50,Fiber to the Premises,6719,7329,6719,7329
130263,Green Hills Telephone Corporation,71,Licensed Fixed Wireless,229,235,229,235
130264,Citizens Telephone Company of Kecksburg,50,Fiber to the Premises,11655,14046,11655,14046
130265,Citizens Mutual Telephone Cooperative (GA),10,Copper,2155,2243,2155,2243
130265,Citizens Mutual Telephone Cooperative (GA),40,Cable,1379,1529,1379,1529
130265,Citizens Mutual Telephone Cooperative (GA),50,Fiber to the Premises,2935,3446,2935,3446
130266,Citizens Telephone Cooperative (VA),10,Copper,7859,9363,7859,9363
130266,Citizens Telephone Cooperative (VA),40,Cable,3238,3713,3238,3713
130266,Citizens Telephone Cooperative (VA),50,Fiber to the Premises,9144,10881,9262,11261
130267,"Citizens Telephone Cooperative, Inc. (WI)",10,Copper,1556,1894,1556,1894
130267,"Citizens Telephone Cooperative, Inc. (WI)",50,Fiber to the Premises,7644,9370,7644,9370
130268,Citizens Telephone Corporation,50,Fiber to the Premises,3286,3480,3286,3480
130268,Citizens Telephone Corporation,70,Unlicensed Fixed Wireless,2115,2185,2115,2185
130269,"Citizens Telephone Company of Hammond NY, Inc.",10,Copper,964,1002,964,1002
130269,"Citizens Telephone Company of Hammond NY, Inc.",50,Fiber to the Premises,7453,8490,7444,8481
130270,City of Barnesville Municipal Telephone,50,Fiber to the Premises,1091,1387,1091,1387
130271,City of Brookings Telephone Fund,10,Copper,154,1482,154,1482
130271,City of Brookings Telephone Fund,50,Fiber to the Premises,6695,10894,6695,10894
130274,City of Faith Municipal Telephone Company,50,Fiber to the Premises,208,224,77,103
130275,City of Ketchikan,10,Copper,4709,7722,4709,7722
130275,City of Ketchikan,50,Fiber to the Premises,4698,7768,4698,7768
130275,City of Ketchikan,70,Unlicensed Fixed Wireless,12,15,12,15
130278,City of San Bruno,40,Cable,6473,10875,92,92
130278,City of San Bruno,50,Fiber to the Premises,20,280,0,0
130279,City of Scottsburg,50,Fiber to the Premises,3520,4386,3520,4386
130279,City of Scottsburg,70,Unlicensed Fixed Wireless,17750,20024,17750,20024
130282,City of Wadsworth,40,Cable,9328,12126,9328,12126
130282,City of Wadsworth,50,Fiber to the Premises,0,0,71,220
130283,City of Windom,50,Fiber to the Premises,2223,2657,2223,2657
130285,"Clarence Telephone Company, Inc.",50,Fiber to the Premises,2336,2522,2336,2522
130287,Clarksville Mutual Telephone Company,10,Copper,29,29,29,29
130287,Clarksville Mutual Telephone Company,50,Fiber to the Premises,305,309,305,309
130288,"Clay County Rural Telephone Cooperative, Inc.",50,Fiber to the Premises,27570,28834,27570,28834
130289,Clear Creek Mutual Telephone Company,10,Copper,120,130,120,130
130289,Clear Creek Mutual Telephone Company,40,Cable,3294,3728,3294,3728
130289,Clear Creek Mutual Telephone Company,50,Fiber to the Premises,168,217,168,217
130290,Clear Lake Independent Telephone Company,50,Fiber to the Premises,6925,9124,6925,9124
130291,"Clear Lake Telephone Company, Inc.",50,Fiber to the Premises,3444,3811,3600,4026
130292,"Clear Rate Communications, LLC",10,Copper,0,0,80525,136015
130292,"Clear Rate Communications, LLC",50,Fiber to the Premises,0,0,112425,203149
130302,C-M-L Telephone Cooperative Association,50,Fiber to the Premises,1649,1806,1649,1806
130303,Coast Communications Co. Inc.,40,Cable,7225,7819,7225,7819
130303,Coast Communications Co. Inc.,50,Fiber to the Premises,1,2,2,3
130305,Cochrane Cooperative Telephone Company,50,Fiber to the Premises,2046,2513,499,612
130307,"Coleman County Telephone Cooperative, Inc.",10,Copper,708,815,708,815
130307,"Coleman County Telephone Cooperative, Inc.",50,Fiber to the Premises,3302,3720,3302,3720
130307,"Coleman County Telephone Cooperative, Inc.",70,Unlicensed Fixed Wireless,416,514,416,514
130307,"Coleman County Telephone Cooperative, Inc.",71,Licensed Fixed Wireless,9795,10633,9795,10633
130307,"Coleman County Telephone Cooperative, Inc.",72,LBR Fixed Wireless,19,20,19,20
130309,COLI Inc.,50,Fiber to the Premises,2253,2385,2253,2385
130309,COLI Inc.,70,Unlicensed Fixed Wireless,11040,12950,11040,12950
130309,COLI Inc.,72,LBR Fixed Wireless,28382,38854,28382,38854
130310,Colo Telephone Company,50,Fiber to the Premises,1629,1861,1629,1861
130311,"Colorado Valley Telephone Cooperative, Inc.",10,Copper,3633,4265,3633,4265
